round_id,action_id,hole_card,valid_actions,round_state,strat,action,amount
18,18,"['CK', 'CJ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 18650, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'maniac_bot', 'uuid': 'uuid-1', 'stack': 21250}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 18600}], 'round_count': 19, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
19,19,"['H4', 'CQ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 250}, {'action': 'raise', 'amount': {'max': 18600, 'min': 200}}]","{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 350}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'maniac_bot', 'uuid': 'uuid-1', 'stack': 21150}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 18500}], 'round_count': 20, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}, {'paid': 200, 'action': 'RAISE', 'add_amount': 150, 'amount': 250, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 1, 'small_blind_pos': 0}",,fold,0
round_id,action_id,hole_card,valid_actions,round_state,strat,action,amount
0,0,"['HT', 'C5']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 250}, {'action': 'raise', 'amount': {'max': 20000, 'min': 400}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 350}, 'side': []}, 'next_player': 0, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'maniac_bot', 'uuid': 'uuid-2', 'stack': 19750}], 'round_count': 1, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}, {'paid': 200, 'action': 'RAISE', 'add_amount': 150, 'amount': 250, 'uuid': 'uuid-2'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
1,1,"['D4', 'D2']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 19900, 'min': 200}}]","{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 0, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19850}, {'state': 'participating', 'name': 'maniac_bot', 'uuid': 'uuid-2', 'stack': 20000}], 'round_count': 2, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}]}, 'big_blind_pos': 1, 'small_blind_pos': 0}",,fold,0
2,2,"['HQ', 'S8']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 250}, {'action': 'raise', 'amount': {'max': 19850, 'min': 400}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 350}, 'side': []}, 'next_player': 0, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19750}, {'state': 'participating', 'name': 'maniac_bot', 'uuid': 'uuid-2', 'stack': 19900}], 'round_count': 3, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}, {'paid': 200, 'action': 'RAISE', 'add_amount': 150, 'amount': 250, 'uuid': 'uuid-2'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
3,3,"['H8', 'SQ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 19750, 'min': 200}}]","{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 0, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19700}, {'state': 'participating', 'name': 'maniac_bot', 'uuid': 'uuid-2', 'stack': 20150}], 'round_count': 4, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}]}, 'big_blind_pos': 1, 'small_blind_pos': 0}",,fold,0
4,4,"['CQ', 'C5']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 250}, {'action': 'raise', 'amount': {'max': 19700, 'min': 400}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 350}, 'side': []}, 'next_player': 0, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19600}, {'state': 'participating', 'name': 'maniac_bot', 'uuid': 'uuid-2', 'stack': 20050}], 'round_count': 5, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}, {'paid': 200, 'action': 'RAISE', 'add_amount': 150, 'amount': 250, 'uuid': 'uuid-2'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
5,5,"['D2', 'SA']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 19600, 'min': 200}}]","{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 0, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19550}, {'state': 'participating', 'name': 'maniac_bot', 'uuid': 'uuid-2', 'stack': 20300}], 'round_count': 6, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}]}, 'big_blind_pos': 1, 'small_blind_pos': 0}",,fold,0
6,6,"['C6', 'D2']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 250}, {'action': 'raise', 'amount': {'max': 19550, 'min': 400}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 350}, 'side': []}, 'next_player': 0, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-1', 'stack': 19450}, {'state': 'participating', 'name': 'maniac_bot', 'uuid': 'uuid-2', 'stack': 20200}], 'round_count': 7, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}, {'paid': 200, 'action': 'RAISE', 'add_amount': 150, 'amount': 250, 'uuid': 'uuid-2'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
