action_id,hero_BBs,at_preflop,at_flop,at_turn,at_river,equity_preflop,equity_flop,equity_turn,equity_river,nb_players,action_fold,action_call,action_raise,amount,winnings
9798,169.5,1,0,0,0,0.57,0.43,0.37,0.38,3,1,0,0,0,0
9799,169.5,1,0,0,0,0.23,0.21,0.2,0.25,4,1,0,0,0,0
9800,169.5,1,0,0,0,0.05,0.21,0.39,0.4,2,1,0,0,0,0
9801,169.5,1,0,0,0,0.69,0.45,0.35,0.5,3,1,0,0,0,0
9802,169.5,1,0,0,0,0.78,0.45,0.41,0.31,4,1,0,0,0,0
9803,169.5,1,0,0,0,0.32,0.41,0.47,0.32,2,1,0,0,0,0
9804,169.5,1,0,0,0,0.03,0.21,0.23,0.28,3,1,0,0,0,0
9805,169.5,1,0,0,0,0.74,0.35,0.25,0.28,4,0,0,1,1.5,1.5
9806,171,1,0,0,0,0.22,0.31,0.29,0.34,2,1,0,0,0,0
9807,171,1,0,0,0,0.45,0.33,0.36,0.29,3,0,0,1,1.5,1.5
9808,172.5,1,0,0,0,0,0.08,0.2,0.26,4,1,0,0,0,0
9809,172.5,1,0,0,0,0.89,0.63,0.58,0.61,2,0,0,1,3,1.5
9810,174,1,0,0,0,0,0.15,0.21,0.21,3,0,0,1,1.5,1.5
9811,175.5,1,0,0,0,0,0.16,0.19,0.16,4,0,0,1,1.5,1.5
9812,176,1,0,0,0,0.11,0.3,0.26,0.33,2,1,0,0,0,0
9813,175.5,1,0,0,0,0.67,0.54,0.51,0.56,2,0,0,1,3,1.5
9814,177,1,0,0,0,0.05,0.19,0.13,0.26,3,0,0,1,1.5,1.5
9815,178.5,1,0,0,0,0.17,0.22,0.23,0.23,4,1,0,0,0,0
9816,178.5,1,0,0,0,0.59,0.57,0.67,0.58,2,1,0,0,0,0
9817,178.5,1,0,0,0,0.29,0.28,0.28,0.3,3,0,0,1,1.5,1.5
9818,180,1,0,0,0,0.61,0.3,0.29,0.32,4,0,0,1,1.5,1.5
9819,181.5,1,0,0,0,0.12,0.33,0.39,0.5,2,0,0,1,3,1.5
9820,183,1,0,0,0,0,0.13,0.13,0.19,3,1,0,0,0,0
9821,183,1,0,0,0,0.74,0.45,0.52,0.29,4,1,0,0,0,0
9822,183,1,0,0,0,0.39,0.49,0.49,0.52,2,0,0,1,1.5,1.5
