round_id,winners,hand_info,round_state
9,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20000}]",[],"{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': ['S7', 'S7', 'S2', 'H8', 'C7'], 'street': 'showdown', 'seats': [{'state': 'folded', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20000}], 'round_count': 10, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}, {'action': 'FOLD', 'uuid': 'uuid-1'}], 'flop': []}, 'big_blind_pos': 1, 'small_blind_pos': 0}"
10,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20050}]",[],"{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 0, 'community_card': ['S3', 'C5', 'CK', 'H5', 'H3'], 'street': 'showdown', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20050}, {'state': 'folded', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 11, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}, {'action': 'FOLD', 'uuid': 'uuid-2'}], 'flop': []}, 'big_blind_pos': 0, 'small_blind_pos': 1}"
11,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20000}]",[],"{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': ['ST', 'HJ', 'SQ', 'D3', 'H2'], 'street': 'showdown', 'seats': [{'state': 'folded', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20000}], 'round_count': 12, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}, {'action': 'FOLD', 'uuid': 'uuid-1'}], 'flop': []}, 'big_blind_pos': 1, 'small_blind_pos': 0}"
12,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20050}]",[],"{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 0, 'community_card': ['H8', 'C9', 'D3', 'H3', 'C3'], 'street': 'showdown', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20050}, {'state': 'folded', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 13, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}, {'action': 'FOLD', 'uuid': 'uuid-2'}], 'flop': []}, 'big_blind_pos': 0, 'small_blind_pos': 1}"
13,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20000}]",[],"{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': ['D8', 'SK', 'CK', 'D2', 'D5'], 'street': 'showdown', 'seats': [{'state': 'folded', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20000}], 'round_count': 14, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}, {'action': 'FOLD', 'uuid': 'uuid-1'}], 'flop': []}, 'big_blind_pos': 1, 'small_blind_pos': 0}"
14,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20050}]",[],"{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 0, 'community_card': ['SQ', 'H3', 'C3', 'D5', 'C3'], 'street': 'showdown', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20050}, {'state': 'folded', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 15, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}, {'action': 'FOLD', 'uuid': 'uuid-2'}], 'flop': []}, 'big_blind_pos': 0, 'small_blind_pos': 1}"
15,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20000}]",[],"{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': ['DA', 'D5', 'S2', 'CJ', 'C3'], 'street': 'showdown', 'seats': [{'state': 'folded', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20000}], 'round_count': 16, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}, {'action': 'FOLD', 'uuid': 'uuid-1'}], 'flop': []}, 'big_blind_pos': 1, 'small_blind_pos': 0}"
16,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20050}]",[],"{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 0, 'community_card': ['H9', 'D9', 'HK', 'C6', 'H8'], 'street': 'showdown', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20050}, {'state': 'folded', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 17, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}, {'action': 'FOLD', 'uuid': 'uuid-2'}], 'flop': []}, 'big_blind_pos': 0, 'small_blind_pos': 1}"
17,"[{'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20000}]",[],"{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': ['D2', 'S9', 'HA', 'C5', 'CT'], 'street': 'showdown', 'seats': [{'state': 'folded', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20000}], 'round_count': 18, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}, {'action': 'FOLD', 'uuid': 'uuid-1'}], 'flop': []}, 'big_blind_pos': 1, 'small_blind_pos': 0}"
18,"[{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20050}]",[],"{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 0, 'community_card': ['H2', 'CQ', 'SQ', 'D5', 'C5'], 'street': 'showdown', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 20050}, {'state': 'folded', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 19, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}, {'action': 'FOLD', 'uuid': 'uuid-2'}], 'flop': []}, 'big_blind_pos': 0, 'small_blind_pos': 1}"
