round_id,seats
0,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}]"
1,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20000}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19850}]"
2,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20050}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19800}]"
3,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20150}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19700}]"
4,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20200}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19650}]"
5,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20300}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19550}]"
6,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20350}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19500}]"
7,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20450}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19400}]"
8,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20500}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19350}]"
9,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20600}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19250}]"
10,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20650}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19200}]"
11,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20750}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19100}]"
12,"[{'state': 'participating', 'name': 'call_bot', 'uuid': 'uuid-1', 'stack': 20800}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19050}]"
