round_id,action_id,hole_card,valid_actions,round_state,strat,action,amount
0,0,"['D8', 'HJ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20000, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 1, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
2,1,"['D6', 'SQ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20000, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 3, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
4,2,"['D2', 'ST']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20000, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 5, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
6,3,"['DJ', 'CJ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20000, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 7, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
8,4,"['H7', 'SA']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20000, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 9, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
10,5,"['DK', 'D6']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20000, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 11, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
12,6,"['C7', 'HQ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20000, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 13, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
14,7,"['C9', 'H8']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20000, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 15, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
16,8,"['DA', 'HA']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20000, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 17, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
18,9,"['CK', 'CJ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20000, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'conservative_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 19, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,fold,0
