round_id,action_id,net_input,net_output,action,amount
1,1,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.6667, 0.1667, 0.1851, 0.1699,
          1.0000, 0.0400, 0.0600, 0.0133]]])",0.14914071559906006,raise,220
2,2,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.6667, 0.3333, 0.1351, 0.1084,
          1.0600, 0.0133, 0.0200, 0.0133]]])",0.14135991036891937,raise,220
3,3,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.8333, 0.5000, 0.2762, 0.2793,
          1.0800, 0.0133, 0.0200, 0.0133]]])",0.14599820971488953,raise,220
5,4,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667, 0.4878, 0.4746,
          1.1000, 0.0067, 0.0200, 0.0133]]])",0.19248783588409424,raise,300
6,5,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.3333, 0.0000, 0.2178, 0.2078,
          1.1200, 0.0133, 0.0200, 0.0133]]])",0.16758954524993896,raise,260
6,6,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000, 0.3933, 0.3566,
          0.9467, 0.3467, 0.7000, 0.0133]]])",0.048851050436496735,fold,0
7,7,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.5000, 0.1667, 0.1595, 0.1443,
          0.9467, 0.0133, 0.0200, 0.0133]]])",0.15168176591396332,raise,220
8,8,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.8333, 0.3333, 0.2209, 0.3319,
          0.9667, 0.0400, 0.0600, 0.0133]]])",0.14836201071739197,raise,220
8,9,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000, 0.6613, 0.7941,
          0.8200, 0.2933, 0.6067, 0.0133]]])",0.024183593690395355,fold,0
9,10,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.8333, 0.5000, 0.2167, 0.2754,
          0.8200, 0.0133, 0.0200, 0.0133]]])",0.14233820140361786,raise,220
11,11,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667, 0.3955, 0.3699,
          0.8400, 0.0067, 0.0200, 0.0133]]])",0.1801481395959854,raise,280
12,12,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.3333, 0.0000, 0.2776, 0.2683,
          0.8600, 0.0133, 0.0200, 0.0133]]])",0.17586520314216614,raise,260
13,13,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.5000, 0.1667, 0.1481, 0.1350,
          0.8800, 0.0133, 0.0200, 0.0133]]])",0.1510891169309616,raise,220
13,14,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667, 0.3701, 0.3278,
          0.7333, 0.2933, 0.6067, 0.0133]]])",0.06275808066129684,fold,0
14,15,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.6667, 0.3333, 0.2012, 0.1635,
          0.7333, 0.0133, 0.0200, 0.0133]]])",0.1450662910938263,raise,220
15,16,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.8333, 0.5000, 0.1760, 0.1212,
          0.7533, 0.0200, 0.0300, 0.0200]]])",0.1356767863035202,raise,210
17,17,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667, 0.6412, 0.7255,
          0.7833, 0.0100, 0.0300, 0.0200]]])",0.22596322000026703,raise,360
18,18,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.3333, 0.0000, 0.1965, 0.1626,
          0.8133, 0.0200, 0.0300, 0.0200]]])",0.1660761833190918,raise,240
19,19,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.6667, 0.1667, 0.1886, 0.1204,
          0.8433, 0.0600, 0.0900, 0.0200]]])",0.14667187631130219,raise,210
20,20,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.6667, 0.3333, 0.1687, 0.1716,
          0.9333, 0.0200, 0.0300, 0.0200]]])",0.14373062551021576,raise,210
20,21,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000, 0.4968, 0.5562,
          0.7933, 0.2800, 0.5800, 0.0200]]])",0.043515440076589584,fold,0
21,22,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.8333, 0.5000, 0.4287, 0.7050,
          0.7933, 0.0200, 0.0300, 0.0200]]])",0.1780128926038742,raise,270
23,23,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.3333, 0.3333, 0.2397, 0.1855,
          0.8233, 0.0500, 0.0900, 0.0200]]])",0.14904198050498962,raise,240
24,24,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.3333, 0.0000, 0.4792, 0.5438,
          0.9133, 0.0200, 0.0300, 0.0200]]])",0.20666275918483734,raise,300
25,25,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.6667, 0.1667, 0.2897, 0.3362,
          0.9433, 0.0600, 0.0900, 0.0200]]])",0.1605730801820755,raise,240
26,26,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.6667, 0.3333, 0.1367, 0.1008,
          1.0333, 0.0200, 0.0300, 0.0200]]])",0.1408095359802246,raise,210
27,27,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.8333, 0.5000, 0.2048, 0.1613,
          1.0633, 0.0200, 0.0300, 0.0200]]])",0.13906581699848175,raise,210
29,28,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667, 0.4749, 0.5161,
          1.0933, 0.0100, 0.0300, 0.0200]]])",0.19383685290813446,raise,300
30,29,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.5000, 0.0000, 0.3280, 0.4543,
          1.1233, 0.1000, 0.1500, 0.0333]]])",0.17754928767681122,raise,250
31,30,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.5000, 0.1667, 0.1964, 0.1874,
          1.2733, 0.0333, 0.0500, 0.0333]]])",0.15287481248378754,raise,250
32,31,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.6667, 0.3333, 0.1771, 0.1396,
          1.3233, 0.0333, 0.0500, 0.0333]]])",0.14350421726703644,raise,200
33,32,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.8333, 0.5000, 0.2123, 0.1665,
          1.3733, 0.0333, 0.0500, 0.0333]]])",0.14090409874916077,raise,200
35,33,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667, 0.5439, 0.6328,
          1.4233, 0.0167, 0.0500, 0.0333]]])",0.20472121238708496,raise,350
36,34,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.3333, 0.0000, 0.3190, 0.2904,
          1.4733, 0.0333, 0.0500, 0.0333]]])",0.17320847511291504,raise,250
37,35,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.5000, 0.1667, 0.1966, 0.2000,
          1.5233, 0.0333, 0.0500, 0.0333]]])",0.15370532870292664,raise,250
38,36,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.6667, 0.3333, 0.2183, 0.1907,
          1.5733, 0.0333, 0.0500, 0.0333]]])",0.1477668583393097,raise,200
